ID;productCode;productName;description;brand;category;subCategory;productType;size;unit;listPrice;cost;currency;status;inStock;stockQuantity;isPromoted;isTrending;trendScore;parentProduct_ID;notes
04567890-0001-0000-0000-000000000001;GLOW-VIT-C-30;Vitamin C Brightening Serum;Advanced brightening serum with 20% Vitamin C for radiant skin;GlowLab;Skincare;Serums;Product;30ml;bottle;89.90;45.00;MYR;Active;true;250;true;true;95;;Best seller
04567890-0002-0000-0000-000000000002;GLOW-HA-50;Hyaluronic Acid Hydrating Serum;Deep hydration serum with 5% Hyaluronic Acid;GlowLab;Skincare;Serums;Product;50ml;bottle;79.90;40.00;MYR;Active;true;180;false;true;88;;
04567890-0003-0000-0000-000000000003;KBEAUTY-SPF50;Glass Skin SPF 50+ Sunscreen;Lightweight sunscreen with glass skin finish;K-Beauty Essentials;Skincare;Sun Protection;Product;50ml;tube;69.90;35.00;MYR;Active;true;300;true;true;92;;Trending on TikTok
04567890-0004-0000-0000-000000000004;PURE-RET-30;Pure Retinol Night Cream;Anti-aging night cream with 0.5% pure retinol;Pure Radiance;Skincare;Moisturizers;Product;30ml;jar;129.90;65.00;MYR;Active;true;120;false;true;85;;
04567890-0005-0000-0000-000000000005;GLOW-NIA-30;Niacinamide 10% Serum;Pore-refining serum with 10% Niacinamide;GlowLab;Skincare;Serums;Product;30ml;bottle;69.90;35.00;MYR;Active;true;200;true;true;90;;
04567890-0006-0000-0000-000000000006;CLEAN-FOAM-150;Clean Beauty Foaming Cleanser;Gentle foaming cleanser for all skin types;Clean Beauty Co;Skincare;Cleansers;Product;150ml;bottle;49.90;25.00;MYR;Active;true;280;false;false;65;;
04567890-0007-0000-0000-000000000007;KBEAUTY-MASK;Korean Sheet Mask Set;Assorted Korean sheet mask set (10 pieces);K-Beauty Essentials;Skincare;Masks;Product;10pcs;box;45.00;22.00;MYR;Active;true;400;true;true;82;;Popular gift set
04567890-0008-0000-0000-000000000008;GLOW-EYE-15;Caffeine Eye Cream;Depuffing eye cream with 5% caffeine complex;GlowLab;Skincare;Eye Care;Product;15ml;tube;59.90;30.00;MYR;Active;true;150;false;false;70;;
04567890-0009-0000-0000-000000000009;PURE-TONER-200;Rose Water Toner;Alcohol-free rose water toner;Pure Radiance;Skincare;Toners;Product;200ml;bottle;39.90;20.00;MYR;Active;true;220;false;false;60;;
04567890-0010-0000-0000-000000000010;ECO-OIL-30;Organic Facial Oil;100% organic facial oil blend;Eco Glow;Skincare;Oils;Product;30ml;bottle;89.90;45.00;MYR;Active;true;90;false;true;75;;Clean beauty certified
04567890-0011-0000-0000-000000000011;LASH-SERUM-5;Lash Growth Serum;Advanced lash growth serum with peptides;LuxeLash;Skincare;Lash Care;Product;5ml;tube;149.90;75.00;MYR;Active;true;85;true;true;88;;High margin
04567890-0012-0000-0000-000000000012;GLOW-PRIMER-30;Glow Up Primer;Illuminating primer for glass skin effect;GlowLab;Makeup;Face;Product;30ml;bottle;69.90;35.00;MYR;Active;true;160;false;true;80;;
04567890-0013-0000-0000-000000000013;VELVET-FOUND-30;Velvet Matte Foundation;Long-lasting matte foundation (10 shades);Velvet Touch;Makeup;Face;Product;30ml;bottle;79.90;40.00;MYR;Active;true;140;false;false;68;;
04567890-0014-0000-0000-000000000014;KBEAUTY-CUSH;K-Beauty Cushion Foundation;Dewy finish cushion foundation;K-Beauty Essentials;Makeup;Face;Product;15g;compact;89.90;45.00;MYR;Active;true;110;true;true;85;;
04567890-0015-0000-0000-000000000015;GLOW-LIPS-4;Glossy Lip Tint;Long-lasting glossy lip tint (8 shades);GlowLab;Makeup;Lips;Product;4ml;tube;39.90;20.00;MYR;Active;true;320;true;false;72;;
04567890-0016-0000-0000-000000000016;VELVET-LIPS-3;Velvet Matte Lipstick;Ultra-matte lipstick (12 shades);Velvet Touch;Makeup;Lips;Product;3g;stick;49.90;25.00;MYR;Active;true;280;false;false;65;;
04567890-0017-0000-0000-000000000017;BROW-KIT;Perfect Brow Kit;Complete brow kit with powder and gel;Beauty Basics;Makeup;Brows;Product;5g;palette;59.90;30.00;MYR;Active;true;190;false;false;60;;
04567890-0018-0000-0000-000000000018;GLOW-HIGH-5;Strobing Highlighter;Liquid highlighter for natural glow;GlowLab;Makeup;Face;Product;5ml;bottle;54.90;27.00;MYR;Active;true;200;true;true;78;;
04567890-0019-0000-0000-000000000019;MASCARA-PRO;Pro Volume Mascara;Volumizing and lengthening mascara;Beauty Basics;Makeup;Eyes;Product;8ml;tube;49.90;25.00;MYR;Active;true;240;false;false;62;;
