ID;outletName;brandToPitch;status;platform;contactEmail;contactName;contactPhone;address;city;state;country;postalCode;source;sourceDetail;leadQuality;estimatedValue;assignedTo_ID;owner_ID;converted;convertedDate;prospect_ID;notes;lastContactDate;nextFollowUp;aiScore;sentimentScore;sentimentLabel;trendScore;trendingTopics;recommendedAction
09012345-0001-0000-0000-000000000001;Bloom Beauty Bar;K-Beauty;Qualified;TikTok;hello@bloombeauty.my;Michelle Tan;+60123456789;Plaza Mont Kiara;Kuala Lumpur;Wilayah Persekutuan;Malaysia;50480;Social;TikTok direct message after viral video;Hot;85000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Very interested in K-Beauty glass skin products. Active on TikTok with 150K followers. Wants to create content around products.;2025-11-12T14:00:00Z;2025-11-18T10:00:00Z;92;85;Very Positive;95;Glass Skin, K-Beauty, SPF 50+;Convert to account immediately. High engagement potential. Offer influencer partnership.
09012345-0002-0000-0000-000000000002;Serenity Spa Ipoh;Organic;New;Referral;info@serenityspaipoh.com;Catherine Wong;+60521234567;Ipoh Garden South;Ipoh;Perak;Malaysia;30000;Referral;Referred by Radiance Beauty Ipoh;Warm;45000.00;01234567-0006-0000-0000-000000000006;01234567-0006-0000-0000-000000000006;false;;;Premium spa interested in organic and clean beauty products. Referral from existing client.;2025-11-11T16:00:00Z;2025-11-19T14:00:00Z;78;70;Positive;75;Clean Beauty, Organic;Schedule in-person meeting. Offer product samples and training.
09012345-0003-0000-0000-000000000003;Glam Studio KL;Premium Makeup;Contacted;Instagram;glam@glamstudiokl.com;Sophia Lee;+60123456790;Bangsar Shopping Centre;Kuala Lumpur;Wilayah Persekutuan;Malaysia;59100;Social;Instagram story engagement;Warm;62000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Makeup studio for events and weddings. Looking for professional makeup lines. Active on Instagram with engaged followers.;2025-11-10T11:00:00Z;2025-11-20T15:00:00Z;82;75;Positive;82;Glass Skin Makeup, Contouring;Send makeup artist samples. Offer training workshop.
09012345-0004-0000-0000-000000000004;Natural Beauty Hub;Clean Beauty;New;Web;contact@naturalbeautyhub.my;Amanda Ng;+60321234568;Subang Jaya;Subang Jaya;Selangor;Malaysia;47500;Web;Website contact form inquiry;Medium;35000.00;01234567-0009-0000-0000-000000000009;01234567-0009-0000-0000-000000000009;false;;;Inquiry about clean and natural beauty products. Small retail space in Subang Jaya.;;2025-11-21T10:00:00Z;68;50;Neutral;70;Clean Beauty, Sustainable;Follow up with detailed product catalog. Emphasize certifications.
09012345-0005-0000-0000-000000000005;Luxe Nails & Beauty;Nail Care;Contacted;Facebook;luxenails@gmail.com;Jenny Lim;+60321234569;Pavilion Elite;Kuala Lumpur;Wilayah Persekutuan;Malaysia;55100;Social;Facebook page inquiry;Medium;28000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Nail salon interested in expanding to skincare. Small budget but growing.;2025-11-09T14:00:00Z;2025-11-22T11:00:00Z;64;55;Positive;60;Nail Care, Hand Care;Offer starter package with payment plan.
09012345-0006-0000-0000-000000000006;Beauty Express Online;Trending Products;Qualified;TikTok;sales@beautyexpress.my;Kevin Tan;+60123456791;Petaling Jaya;Petaling Jaya;Selangor;Malaysia;47800;Social;TikTok shop inquiry;Hot;95000.00;01234567-0009-0000-0000-000000000009;01234567-0009-0000-0000-000000000009;false;;;TikTok Shop seller with strong sales. Looking for exclusive trending products. Fast-moving inventory.;2025-11-12T16:00:00Z;2025-11-17T10:00:00Z;88;80;Very Positive;92;Viral Products, TikTok Trending;Priority lead. Offer exclusive first access to trending items.
09012345-0007-0000-0000-000000000007;Radiant Skin Clinic;Medical Grade;New;LinkedIn;clinic@radiantskin.my;Dr. Sarah Chen;+60321234570;Mont Kiara;Kuala Lumpur;Wilayah Persekutuan;Malaysia;50480;LinkedIn;LinkedIn connection;Warm;120000.00;01234567-0002-0000-0000-000000000002;01234567-0002-0000-0000-000000000002;false;;;Aesthetic clinic looking for medical-grade skincare products. High-end clientele.;;2025-11-23T09:00:00Z;76;65;Positive;68;Medical Grade, Retinol;Schedule consultation meeting. Provide clinical data.
09012345-0008-0000-0000-000000000008;Hair Studio 99;Haircare;Contacted;Referral;hairstudio99@gmail.com;Jason Wong;+60721234571;Johor Bahru City Square;Johor Bahru;Johor;Malaysia;80000;Referral;Referred by Bella Salon JB;Cold;22000.00;01234567-0005-0000-0000-000000000005;01234567-0005-0000-0000-000000000005;false;;;Hair salon focused on coloring and treatments. Budget-conscious. Needs convincing on value.;2025-11-08T15:00:00Z;2025-11-25T14:00:00Z;42;30;Negative;55;Keratin, Hair Repair;Provide samples. Emphasize profit margins and client satisfaction.
09012345-0009-0000-0000-000000000009;Beauty Vault Online;E-commerce;Qualified;Web;info@beautyvault.my;Rachel Koh;+60123456792;Shah Alam;Shah Alam;Selangor;Malaysia;40000;Web;Website wholesale inquiry;Warm;75000.00;01234567-0009-0000-0000-000000000009;01234567-0009-0000-0000-000000000009;false;;;Online beauty retailer with Shopee and Lazada stores. Looking for wholesale partnership.;2025-11-11T10:00:00Z;2025-11-19T15:00:00Z;80;70;Positive;85;E-commerce, Online Shopping;Offer wholesale pricing and dropship options.
09012345-0010-0000-0000-000000000010;Zen Wellness Spa;Wellness;New;Event;zen@zenwellness.my;Melissa Tan;+60421234572;Gurney Paragon;Penang;Pulau Pinang;Malaysia;10250;Event;Met at beauty trade show;Warm;52000.00;01234567-0003-0000-0000-000000000003;01234567-0003-0000-0000-000000000003;false;;;Wellness-focused spa interested in natural and botanical products. Met at recent trade show in Penang.;;2025-11-24T11:00:00Z;72;60;Positive;72;Wellness, Natural;Follow up with wellness-focused product line presentation.
