ID;campaignName;campaignType;triggerKeyword;ESGTag;triggerProduct_ID;status;budget;startDate;endDate;targetAudience;campaignBrief;performanceMetrics;owner_ID;createdAt;createdBy;modifiedAt;modifiedBy
04445678-0001-0000-0000-000000000001;Glass Skin Hydration Drive;TikTok;#GlassSkin;Sustainable Ingredients;04567890-0003-0000-0000-000000000003;Active;50000;2025-01-20T00:00:00Z;2025-02-20T23:59:59Z;Women 18-35, beauty enthusiasts, skincare lovers;Campaign focused on glass skin trend with hydration products. Target audience: Women aged 18-35 interested in K-beauty and skincare. Content strategy: Tutorial videos, before/after transformations, product reviews. Budget allocation: 40% micro-influencers, 30% nano-influencers, 30% TikTok ads.;{"roi":2.8,"clicks":125000,"conversions":3500,"engagementRate":8.5,"reach":2500000};01234567-0002-0000-0000-000000000002;2025-01-15T10:00:00Z;system;2025-01-25T14:30:00Z;01234567-0002-0000-0000-000000000002
04445678-0002-0000-0000-000000000002;Vitamin C Brightening Challenge;Instagram;#VitaminC;Vegan;04567890-0001-0000-0000-000000000001;Active;35000;2025-01-25T00:00:00Z;2025-02-25T23:59:59Z;Women 25-45, anti-aging focused, skincare routine enthusiasts;Brightening campaign highlighting Vitamin C benefits. Target: Women 25-45 seeking anti-aging solutions. Content: Before/after photos, skincare routines, expert tips. Influencer mix: 50% macro (100K+), 30% micro (10K-100K), 20% nano (1K-10K).;{"roi":3.2,"clicks":89000,"conversions":2800,"engagementRate":9.2,"reach":1800000};01234567-0002-0000-0000-000000000002;2025-01-20T09:00:00Z;system;2025-01-28T16:00:00Z;01234567-0002-0000-0000-000000000002
04445678-0003-0000-0000-000000000003;SPF50 Summer Protection;SocialAds;#SPF50;Low-Carbon;04567890-0003-0000-0000-000000000003;PendingApproval;40000;2025-02-10T00:00:00Z;2025-03-10T23:59:59Z;All ages, outdoor enthusiasts, sun protection aware;Summer sun protection campaign emphasizing SPF50 importance. Multi-platform approach: Meta Ads, Google Ads, Shopee Ads. Target: Broad audience with interest in sun protection. Creative: Educational content, UV protection facts, product demonstrations.;{"roi":0,"clicks":0,"conversions":0,"engagementRate":0,"reach":0};01234567-0001-0000-0000-000000000001;2025-02-01T11:00:00Z;01234567-0002-0000-0000-000000000002;2025-02-01T11:00:00Z;01234567-0002-0000-0000-000000000002
04445678-0004-0000-0000-000000000004;Retinol Night Routine;Email;#Retinol;Cruelty-Free;04567890-0004-0000-0000-000000000004;Draft;25000;2025-02-15T00:00:00Z;2025-03-15T23:59:59Z;Women 30-50, anti-aging focused, premium skincare buyers;Email campaign for retinol night cream targeting mature audience. Content: Skincare education, night routine guides, anti-aging benefits. Email sequence: Welcome, education, product spotlight, testimonial, limited offer.;{"roi":0,"clicks":0,"conversions":0,"engagementRate":0,"reach":0};01234567-0002-0000-0000-000000000002;2025-02-05T14:00:00Z;01234567-0002-0000-0000-000000000002;2025-02-05T14:00:00Z;01234567-0002-0000-0000-000000000002
04445678-0005-0000-0000-000000000005;Hyaluronic Acid Hydration Boost;TikTok;#Hydrating;Recyclable Packaging;04567890-0002-0000-0000-000000000002;Active;30000;2025-01-28T00:00:00Z;2025-02-28T23:59:59Z;Women 18-30, dry skin concerns, hydration seekers;Hydration-focused campaign for Hyaluronic Acid serum. TikTok-first strategy with trending sounds and challenges. Content: Hydration tests, skin transformation videos, product reviews. Creator mix: 60% nano-influencers, 30% micro, 10% macro.;{"roi":2.5,"clicks":75000,"conversions":1900,"engagementRate":7.8,"reach":1200000};01234567-0009-0000-0000-000000000009;2025-01-22T10:30:00Z;system;2025-02-01T09:00:00Z;01234567-0009-0000-0000-000000000009
04445678-0006-0000-0000-000000000006;K-Beauty Skincare Essentials;ShopeeAds;#KBeauty;Sustainable Ingredients;04567890-0003-0000-0000-000000000003;Active;45000;2025-02-01T00:00:00Z;2025-03-01T23:59:59Z;Women 18-35, K-beauty enthusiasts, online shoppers;Shopee-focused campaign for K-beauty products. Strategy: Shopee Ads, flash sales, influencer collaborations. Target: Active Shopee users interested in Korean beauty. Content: Product listings optimization, video reviews, bundle promotions.;{"roi":3.5,"clicks":200000,"conversions":4500,"engagementRate":6.2,"reach":3500000};01234567-0009-0000-0000-000000000009;2025-01-25T13:00:00Z;system;2025-02-05T11:00:00Z;01234567-0009-0000-0000-000000000009
04445678-0007-0000-0000-000000000007;Acne Solution Power Duo;Instagram;#AcneFree;Cruelty-Free;04567890-0005-0000-0000-000000000005;Paused;28000;2025-01-30T00:00:00Z;2025-02-28T23:59:59Z;Teens and young adults 16-25, acne concerns, skincare beginners;Acne solution campaign targeting younger audience. Content: Before/after transformations, skincare routines, dermatologist tips. Paused for creative review. Influencer focus: Authentic testimonials from real users.;{"roi":1.8,"clicks":45000,"conversions":800,"engagementRate":5.5,"reach":800000};01234567-0002-0000-0000-000000000002;2025-01-26T15:00:00Z;system;2025-02-02T10:00:00Z;01234567-0002-0000-0000-000000000002
04445678-0008-0000-0000-000000000008;Anti-Aging Night Routine;Email;#AntiAging;Low-Carbon;04567890-0004-0000-0000-000000000004;Draft;22000;2025-02-20T00:00:00Z;2025-03-20T23:59:59Z;Women 35-55, premium skincare buyers, anti-aging focused;Premium email campaign for anti-aging night cream. Target: High-value customers seeking advanced skincare. Content: Expert advice, ingredient education, customer success stories. Email automation: Welcome series, educational content, product launch, special offer.;{"roi":0,"clicks":0,"conversions":0,"engagementRate":0,"reach":0};01234567-0001-0000-0000-000000000001;2025-02-08T09:00:00Z;01234567-0001-0000-0000-000000000001;2025-02-08T09:00:00Z;01234567-0001-0000-0000-000000000001
04445678-0009-0000-0000-000000000009;Glow Up Transformation;TikTok;#GlowUp;Vegan;04567890-0001-0000-0000-000000000001;Completed;38000;2025-01-10T00:00:00Z;2025-02-10T23:59:59Z;Women 18-30, beauty enthusiasts, transformation seekers;Completed glow-up transformation campaign. Focused on Vitamin C brightening serum with viral TikTok challenges. Content: 30-day transformation videos, skincare routines, product reviews. High engagement with user-generated content.;{"roi":4.2,"clicks":180000,"conversions":5500,"engagementRate":10.5,"reach":3200000};01234567-0002-0000-0000-000000000002;2025-01-05T08:00:00Z;system;2025-02-11T16:00:00Z;01234567-0002-0000-0000-000000000002
04445678-0010-0000-0000-000000000010;Sensitive Skin Care;Instagram;#SensitiveSkin;Sustainable Ingredients;04567890-0006-0000-0000-000000000006;Draft;32000;2025-03-01T00:00:00Z;2025-04-01T23:59:59Z;Women 25-45, sensitive skin concerns, gentle skincare seekers;Draft campaign for sensitive skin products. Strategy: Educational content, dermatologist partnerships, gentle product focus. Target: Audience with sensitive skin looking for safe solutions. Content: Ingredient education, patch test guides, gentle routine tutorials.;{"roi":0,"clicks":0,"conversions":0,"engagementRate":0,"reach":0};01234567-0002-0000-0000-000000000002;2025-02-10T14:00:00Z;01234567-0002-0000-0000-000000000002;2025-02-10T14:00:00Z;01234567-0002-0000-0000-000000000002
