ID;accountName;accountType;industry;website;phone;email;address;city;state;country;postalCode;instagramHandle;tiktokHandle;facebookPage;establishedYear;employeeCount;annualRevenue;parentAccount_ID;status;accountOwner_ID;accountManager_ID;accountTier;healthScore;riskLevel;creditLimit;paymentTerms;description;notes;assignedTo;dateCreated;estimatedMonthlyGMV;forecastedRevenueContribution;contractStatus;currentTimelineStage;timelineStageStatus;nextRecommendedAction;timelineStageDeadline;timelineStageOwner_ID;timelineStageNotes;recentSentimentTrend;sentimentScore
02345678-0001-0000-0000-000000000001;Sephora Mid Valley;Retailer;Beauty Retail;https://www.sephora.my;+60321234001;midvalley@sephora.my;Mid Valley Megamall, Lingkaran Syed Putra;Kuala Lumpur;Wilayah Persekutuan;Malaysia;58000;@sephoramidvalley;@sephoramidvalley;Sephora Mid Valley;2005;25;5000000;;Active;01234567-0002-0000-0000-000000000002;01234567-0001-0000-0000-000000000001;Platinum;92;Low;200000;Net 30;Premium beauty retailer with strong foot traffic;Excellent relationship, regular orders;Sarah Tan;2025-01-10;450000.00;1200000.00;Active;RevenueRealization;InProgress;Schedule Q1 2026 product launch planning meeting with Jennifer Lim to discuss new K-Beauty arrivals and exclusive bundle promotions;2025-12-15T17:00:00Z;01234567-0002-0000-0000-000000000002;Customer has shown strong interest in expanding K-Beauty selection. Currently in revenue realization phase with consistent monthly orders exceeding forecast. Planning joint marketing campaign for Q1 2026.;Improving;88
02345678-0002-0000-0000-000000000002;Glow Beauty Studio;Salon;Beauty Services;https://www.glowbeauty.my;+60321234002;hello@glowbeauty.my;Jalan Ampang, Plaza Ampang;Kuala Lumpur;Wilayah Persekutuan;Malaysia;50450;@glowbeautystudio;@glowbeautystudio;Glow Beauty Studio;2018;8;800000;;Active;01234567-0002-0000-0000-000000000002;01234567-0001-0000-0000-000000000001;Gold;85;Low;50000;Net 30;Trendy salon specializing in K-Beauty treatments;Very active on social media;Kevin Tan;2025-01-11;75000.00;280000.00;Active;CampaignExecution;InProgress;Finalize co-branded Instagram campaign featuring glass skin treatments using our premium serums;2025-12-01T16:00:00Z;01234567-0002-0000-0000-000000000002;Sarah Wong is an influencer with 200K followers. Collaborating on social media campaign to boost brand awareness. Strong engagement on TikTok and Instagram.;Stable;82
02345678-0003-0000-0000-000000000003;Watsons Pavilion KL;Retailer;Retail Pharmacy;https://www.watsons.com.my;+60321234003;pavilion@watsons.my;Pavilion Kuala Lumpur, Jalan Bukit Bintang;Kuala Lumpur;Wilayah Persekutuan;Malaysia;55100;;;Watsons Malaysia;1994;50;8000000;;Active;01234567-0002-0000-0000-000000000002;01234567-0001-0000-0000-000000000001;Platinum;88;Low;300000;Net 45;Major health and beauty retail chain;Part of Watsons Malaysia network;Lisa Wong;2025-01-12;680000.00;2100000.00;Active;OpportunityDevelopment;InProgress;Present new seasonal product line proposal and negotiate shelf space expansion for premium brands;2025-12-10T14:00:00Z;01234567-0002-0000-0000-000000000002;Large retail chain with high foot traffic. Exploring opportunities for exclusive product launches and promotional campaigns. Need to provide sales performance data.;Stable;75
02345678-0004-0000-0000-000000000004;Luxe Spa Penang;Spa;Wellness;https://www.luxespapenang.com;+60421234004;info@luxespapenang.com;Gurney Plaza, Persiaran Gurney;Penang;Pulau Pinang;Malaysia;10250;@luxespapenang;@luxespapenang;Luxe Spa Penang;2015;15;1200000;;Active;01234567-0003-0000-0000-000000000003;01234567-0001-0000-0000-000000000001;Gold;78;Medium;70000;Net 30;High-end spa with exclusive clientele;Interested in premium skincare lines;David Lee;2025-01-13;95000.00;360000.00;Active;OpportunityDevelopment;InProgress;Conduct product training session for therapists on new organic skincare line and discuss quarterly order commitment;2025-11-30T10:00:00Z;01234567-0003-0000-0000-000000000003;Premium spa interested in organic and luxury skincare products. Patricia prefers high-quality brands. Schedule training session for staff.;Improving;79
02345678-0005-0000-0000-000000000005;Beauty Haven Online;E-commerce;E-commerce;https://www.beautyhaven.my;+60321234005;support@beautyhaven.my;Bangsar South, Jalan Kerinchi;Kuala Lumpur;Wilayah Persekutuan;Malaysia;59200;@beautyhavenonline;@beautyhavenonline;Beauty Haven Online;2019;12;2000000;;Active;01234567-0002-0000-0000-000000000002;01234567-0001-0000-0000-000000000001;Gold;82;Low;100000;Net 30;Fast-growing online beauty platform;Strong TikTok presence, young audience;Amy Chen;2025-01-14;180000.00;720000.00;Active;CampaignExecution;InProgress;Launch TikTok viral product bundle campaign targeting Gen Z audience, coordinate with Jessica on content creation;2025-12-05T15:00:00Z;01234567-0002-0000-0000-000000000002;Fast-growing e-commerce platform with strong social media presence. Jessica is very active on TikTok. Focus on trending viral products popular with young audience.;Improving;85
02345678-0006-0000-0000-000000000006;Guardian Berjaya Times Square;Retailer;Retail Pharmacy;https://www.guardian.com.my;+60321234006;berjaya@guardian.my;Berjaya Times Square, Jalan Imbi;Kuala Lumpur;Wilayah Persekutuan;Malaysia;55100;;;Guardian Malaysia;1985;45;7000000;;Active;01234567-0009-0000-0000-000000000009;01234567-0001-0000-0000-000000000001;Platinum;90;Low;250000;Net 45;Leading health and beauty chain;Consistent high-volume orders;Michael Lim;2025-01-15;590000.00;1980000.00;Active;RevenueRealization;InProgress;Review year-end performance metrics and discuss 2026 annual contract renewal with volume commitment incentives;2025-12-20T11:00:00Z;01234567-0009-0000-0000-000000000009;Consistent high-volume partner with excellent payment history. Annual contract renewal coming up. Strong relationship with store manager Daniel Wong.;Stable;80
02345678-0007-0000-0000-000000000007;Bella Salon JB;Salon;Beauty Services;https://www.bellasalonjb.com;+60721234007;hello@bellasalonjb.com;Komtar JBCC, Jalan Wong Ah Fook;Johor Bahru;Johor;Malaysia;80000;@bellasalonjb;@bellasalonjb;Bella Salon JB;2016;10;600000;;Active;01234567-0005-0000-0000-000000000005;01234567-0004-0000-0000-000000000004;Silver;70;Medium;40000;Net 30;Popular salon in JB, growing customer base;Needs better product selection;Jennifer Ng;2025-01-16;52000.00;195000.00;Active;OpportunityDevelopment;Delayed;Follow up on product training session proposal and address concerns about pricing to move deal forward;2025-11-28T14:00:00Z;01234567-0005-0000-0000-000000000005;Owner Isabella is price-sensitive. Need to provide more training and support. Currently delayed on opportunity development - pricing concerns need to be addressed.;Declining;58
02345678-0008-0000-0000-000000000008;The Beauty Collective;Distributor;Distribution;https://www.thebeautycollective.my;+60321234008;sales@thebeautycollective.my;Petaling Jaya, Jalan PJU 1A;Selangor;Selangor;Malaysia;47301;@beautycolectiveB2B;;The Beauty Collective;2010;30;10000000;;Active;01234567-0002-0000-0000-000000000002;01234567-0010-0000-0000-000000000010;Platinum;95;Low;500000;Net 60;Major distributor serving B2B clients;Key strategic partner;James Ho;2025-01-17;850000.00;3200000.00;Active;RevenueRealization;InProgress;Discuss exclusive distribution rights for new premium brand launch and coordinate logistics with Rachel Koh;2025-12-18T09:00:00Z;01234567-0010-0000-0000-000000000010;Strategic distribution partner with extensive B2B network. Excellent relationship with Michael Tan. Exploring exclusive distribution opportunities for premium brands.;Improving;92
02345678-0009-0000-0000-000000000009;Glow Up Influencer;Influencer;Social Media;https://www.instagram.com/glowupwithme;+60123456789;collab@glowupwithme.com;Damansara Heights;Kuala Lumpur;Wilayah Persekutuan;Malaysia;50490;@glowupwithme;@glowupwithme;Glow Up With Me;2020;3;500000;;Prospect;01234567-0002-0000-0000-000000000002;01234567-0001-0000-0000-000000000001;Bronze;65;Medium;20000;Prepaid;Beauty influencer with 500K followers;Potential brand ambassador;Rachel Yap;2025-01-18;42000.00;180000.00;Draft;FinancialNegotiation;InProgress;Finalize brand ambassador contract terms including content deliverables, exclusivity clause, and payment structure;2025-12-08T16:00:00Z;01234567-0002-0000-0000-000000000002;Sophie has 500K followers with high engagement rate. Currently negotiating brand ambassador deal. Need to finalize contract terms and content requirements.;Stable;75
02345678-0010-0000-0000-000000000010;Radiance Beauty Ipoh;Salon;Beauty Services;https://www.radiancebeautyipoh.com;+60521234010;contact@radiancebeautyipoh.com;Ipoh Parade, Jalan Sultan Abdul Jalil;Ipoh;Perak;Malaysia;30000;@radiancebeautyipoh;;Radiance Beauty Ipoh;2012;12;750000;;Active;01234567-0006-0000-0000-000000000006;01234567-0001-0000-0000-000000000001;Silver;75;Low;45000;Net 30;Established salon with loyal customers;;Tommy Ong;2025-01-19;63000.00;240000.00;Active;OpportunityDevelopment;InProgress;Present new anti-aging product line and discuss quarterly promotional support to drive customer awareness;2025-12-03T13:00:00Z;01234567-0006-0000-0000-000000000006;Established salon with traditional loyal customer base. Catherine prefers quality established brands. Exploring opportunities for anti-aging product line.;Stable;72
